post_id,post_created,post_text,user_id,followers,friends,favourites,statuses,retweets,URLs,Mentions,Hashtags,label
637894677824413696,Sun Aug 30 07:48:37 +0000 2015,information technology is just over years since i wait and see diagnosed where in the hell and today i ante meridiem amplitude modulation taking a moment tears in miss you eyes out reflect on how far i have come since,1013187241,84,211,251,837,0,False,False,"['#anxiety', '#depression']",1
637890384576778240,Sun Aug 30 07:31:33 +0000 2015,information technology is sunday i need a break significant other shout out i ante meridiem amplitude modulation planning tears in miss you eyes out spend as little tears in miss you eyes as possible on the,1013187241,84,211,251,837,1,False,False,['#A14'],1
637749345908051968,Sat Aug 29 22:11:07 +0000 2015,awake but tired i need tears in miss you eyes out sleep but miss you brain has other ideas,1013187241,84,211,251,837,0,False,False,[],1
637696421077123073,Sat Aug 29 18:40:49 +0000 2015,bears make perfect gifts and are great for beginners too get stitching where in the hell octobers sew on sale now,1013187241,84,211,251,837,2,True,True,"['#Retro', '#yay']",1
637696327485366272,Sat Aug 29 18:40:26 +0000 2015,information technology is hard tears in miss you eyes out say whether packing lists are making life easier or just reinforcing how much still needs doing,1013187241,84,211,251,837,1,False,False,"['#movinghouse', '#anxiety']",1
637692793083817985,Sat Aug 29 18:26:24 +0000 2015,making packing lists is miss you new hobby,1013187241,84,211,251,837,1,False,False,['#movinghouse'],1
637691649943072772,Sat Aug 29 18:21:51 +0000 2015,at what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding,1013187241,84,211,251,837,1,False,False,['#movinghouse'],1
637689418472652800,Sat Aug 29 18:12:59 +0000 2015,currently in the findingboxesofrandomshit packing phase i think i ante meridiem amplitude modulation a closet hoarder,1013187241,84,211,251,837,0,False,False,[],1
637687177946734592,Sat Aug 29 18:04:05 +0000 2015,cannot be bothered tears in miss you eyes out cook take away on the where are you beaming face where in the hell smiling eyes thumbs up mediumlight skin tone,1013187241,84,211,251,837,0,False,False,['#lazy'],1
637684866906255360,Sat Aug 29 17:54:54 +0000 2015,independent tv releases promo video for the final series of downton abbey,1013187241,84,211,251,837,41,True,True,[],1
637684675557896193,Sat Aug 29 17:54:08 +0000 2015,also i have too much stuff where are you where are you too much,1013187241,84,211,251,837,1,False,False,['#movinghouse'],1
637684322078707712,Sat Aug 29 17:52:44 +0000 2015,i never want tears in miss you eyes out put one of these together again,1013187241,84,211,251,837,0,True,False,['#lotharderthanitlooks'],1
